"","text"
"266","бурение установить перила площадка приёмный мосток"
"267","безопасно"
"268","энергетика обход кокс пековый обнаружить работать освещение кустовой площадка"
"269","бурение раскрыть хим реагент блок приготовление раствор электротельфер"
"270","обслуживание водовозка бова работник подтягивать шланг голый рука применение рукавица"
"271","нарушение правило безопасность обнаружить"
"272","вср оператор новый технология оградить рабочий сигнальный лента"
"273","вход агз обнаружить неровный поверхность"
"274","прр находиться опасный зона"
"275","ацнка стоять кустовой площадка очередь расскачка"
"276","передвижение работник скользкий поверхность применение антигололёд шип"
"277","работник спускаться лестница держаться перила разговаривать телефон"
"278","работник передвигаться кустовой площадка галоша"
"279","бурение обледенение роторный площадка"
"280","работник посадка вахтовый автобус использовать откидной лестница"
"281","отсутствовать заземление датчик температура сооружение очистка бытовой сточный вода"
"282","бурение топливо синтетический находиться кокс пековый водитель противооткат"
"283","бурение въезд кокс пековый участок дорога занести снег"
"284","бурение размотать шланг гном проход"
"285","бурение работник пытаться лестница страховка"
"286","бурение жить городок лестничный площадка образоваться наледь возможность поскальзывание спотыкание"
"287","бурение проход снег наледь"
"288","бурение обнаружить исправный чалка"
"289","транспорт работник подъём лестница держаться перилла"
"290","вход блок подготовка топливный газ козырёк большой количество снег"
"291","бурение автомобиль работать стоп сигнал"
"292","очистить подъездный путь кислородный станция"
"293","бурение работник монтаж противовыбросовый оборудование залезть отвод страховка"
"294","безопасно"
"295","кокс пековый агз пропуск фланцевый соединение"
"296","обход ннп обнаружить разбитый манометр"
"297","оуростверк трансформатор масляный повышать напряжение солянокислотный ванный нарушение целостность просечка"
"298","прочее подход бова мастер обнаружить козырёк вход скопиться снег создавать опасность падение"
"299","вср помощник бурильщик передвигаться кокс пековый вагонсушилка вагонстоловый сизый каска спецобувь"
"300","проверка р обнаружить прихват коллектор скважина биуспредположительно заморозить участок район обратный клапан"
"301","забиться дренажный линия сн"
"302","отсутствовать площадка обслуживание датчик температура змеевик площадка нагреватель печь трубчатый блочный"
"303","прочее движение задний ход акн регулировка движение осуществляться один человек"
"304","загрезнение устье скважина утилизация"
"305","обнаружить пропуск фонарь зкл б"
"306","работник подрядный организация находиться кокс пековый спецодежда"
"307","бурение прр крановщик поднять груз команда стропальщик"
"308","обледенение лестница подъём бде иметься риск подскальзование"
"309","парка гсм пожщит занести снег затруднём подход"
"310","передвижение топливо синтетический задний ход привлечение сигнальщик"
"311","вестись контроль состояние гзп своевременный отбраковка ведение журнал производиться"
"312","кап строительство дорога месторождение покрыть корка лёд"
"313","энергетика ёмкость дизтопливо отсутствовать обвалование"
"314","скважина отсутствовать лубрикатор"
"315","обход кустовой площадка обнаружить скользкий заснеженный площадка агз"
"316","пожарный щит душевая отсутствовать стекло дверца"
"317","прибор апс вересть показывать неисправность отключение дизельный электростанция"
"318","вход блок подготовка топливный газ козырёк большой количество снег"
"319","кап строительство работник подрядный организация проверка силовой кабель блок подготовка топливный газ находиться средство сизый очки наушник"
"320","бурение отсутствовать перильный ограждение лестница приёмный мост"
"321","сотрудник использовать защитный очки работа"
"322","прочее кокс пековый агз оголить кабель фишка оборудование кипиа"
"323","безопасно"
"324","посторонний предмет площадка тгр"
"325","бурение сотрудник идс подниматься жилой зона вагон разговаривать мобильный телефон держаться перила"
"326","перемещение груз спец техника арка заметить ненадежноё закрепление"
"327","оторвать заземление уровнемер приёмный ёмкость"
"328","бурение работник перемещать габаритный тяжёлый груз ручной"
"329","агз позиция посторонний предмет"
"330","сборка аппарат аковы треснуть ловушка"
"331","кап строительство автодорога площадка взис подъём гора топливо синтетический гпнснабжение площадка слететь перевозить труба"
"332","заснеженный обледенелый рабочий площадка"
"333","бурение вахтовый автобус работать автономный отопитель"
"334","бурение неисправный строп"
"335","бурение опасный условие передвижение замести снег"
"336","оторвать заземление уровнемер приёмный ёмкость"
"337","подъём подвеска нкт бригада капитальный ремонт скважина ремонт после обрыв внутрискважинный оборудый идти перелив нефть загрязнять устье скважина"
"338","скопление снег кабельный эстакада возле вход операторный провисание лоток"
"339","проверка кокс пековый скважина обнаружить пропуск химреагент тело трубка нагентательный линия установка дозирование реагент мочь также называться убпр устройство ус точка ввод скважина"
"340","упасть плафон пожнасосный"
"341","замазученность насосный блок"
"342","проверка кокс пековый обнаружить пропуск фланцевый соединение заглушка свободный отвод агз"
"343","яма куст"
"344","задвижка выход котельная капать"
"345","сотрудник находиться сизочки месторождение"
"346","бурение спо работник пытаться отремонтировать энкодер буровой лебёдка"
"347","комната приём проба нефтеперерабатывающий завод обнаружить промаслить ветошь ящик изпод проба"
"348","бурение работа тельфер работник находиться опасный зона"
"349","работать мачта освещение"
"350","скважина отсутствовать лубрикатор"
"351","замазучёность бкн подтечь нво"
"352","бурение территория хранение гсм постелить бур укрытие скользко опасность подскальзываниятравмирование персонал"
"353","бурение обход обнаружить сотрудник подрядный организация работать заточный станок ослабить заточный риск травмирование персонал"
"354","работник находиться опасный зона производить работа эксковатор"
"355","работник перебивать шестёрка катанка использовать ударный инструмент стойка электрокабель уложить кабель"
"356","энергетика сотрудник заниматься пусконаладочный работа бма работа остаться мусор"
"357","насос маслять шестерёнчатый посторонний шум запах гарь"
"358","территория агз занести снег"
"359","огнетушитель вагон баня срок поверка закончить"
"360","захламить проезд мосток"
"361","кап строительство кладовщик подъём площадка полуприцеп перевозка труба использовать подъём спуск приставной лестница"
"362","вср экипаж скребкование работать ограждение площадка обслуживание ограждение сигнальный линия"
"363","вср помощник бурильщик рабочий место использовать сизый очки"
"364","энергетика обход кокс пековый обнаружить работать освещение агз"
"365","бурение движение кокс пековый скользко"
"366","бурение работа паровой промысловый установка паровой передвижной установка передвижной п предупреждать табличка выставить"
"367","бурение водитель спрыгнуть кузов соблюдать точка опора"
"368","бурение циркуляционный система гидроциклонный очистка буровой раствор обрыв заземление вибросито"
"369","бурение проведение проверка рабочий место обнаружить самодельный молоток"
"370","затруднить подъём абжк главный проезжий гололёд"
"371","вср электрик обьнефтеремонт выполнять набот высота крыша вагонасушилка средство защита падение"
"372","краснодарский филиал тара хим реагент установить грунт помиммо гидроизолировать площадка хранение"
"373","прочее кокс пековый агз пропуск масло прокладка генеральный план"
"374","транспорт кокс пековый работник подрядный организация выйти машина защитный каска"
"375","бурение площадка переход ёмкость нёбо частично сторона обломать отбортовка"
